판독순위,tier,score,source,id,사건번호,선고일자,법원,사건명,매칭쿼리,강한신호,판시사항,요지,링크,O1_무효판단,O2_결함유형,O3_대상규정명,O4_대상규정일련번호,O5_메모,O6_판시유형,O7_대상층위,O8_코퍼스관계
45,B,7,prec,157678,2009두23822,2011.09.08,대법원,공장신설불승인처분취소,대외적 구속력 고시; 대외적 구속력,위임의?\s*한계,"[1] ‘산업입지의 개발에 관한 통합지침’이 법규명령의 효력을 가지는지 여부(적극) [2] 甲 주식회사가 한 공장설립승인신청에 대하여, 천안시장이 공장부지가 상수원보호구역으로부터 상류 800m 지점에 있어서 ‘산업입지의 개발에 관한 통합지침’ 제36조 제1항 제6호에 따라 공장설립이 불허된다는 이유로 불승인처분을 한 사안에서, 처분이 적법하다고 본 원심판단을 수긍한 사례 ","[1] 산업입지 및 개발에 관한 법률 제40조 제1항, 제3항, 산업입지 및 개발에 관한 법률 시행령 제45조 제1항의 위임에 따라 제정된 ‘산업입지의 개발에 관한 통합지침’(2008. 1. 4. 건설교통부 고시 제2007-662호, 환경부 고시 제2007-205호)의 내용, 형식 및 취지 등을 종합하면, ‘산업입지의 개발에 관한 통합지침’은 위 법령이 위임한 것에 따라 법령의 내용이 될 사항을 구체적으로 정한 것으로서 법령의 위임 한계를 벗어나지 않으므로, 그와 결합하여 대외적으로 구속력이 있는 법규명령의 효력을 가진다. [2] 甲 주식회사가 한 공장설립승인신청에 대하여, 천안시장이 공장부지가 천안 상수원보호구역으로부터 상류 800m 지점에 있어서 ‘산업입지의 개발에 관한 통합지침’(2008. 1. 4. ",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=157678&type=HTML&mobileYn=,N,,,,'산업입지의 개발에 관한 통합지침'(건설교통부·환경부 고시): 법령의 위임 한계 내로 법규명령 효력 인정(유효).,,,
46,B,7,prec,210845,2013두5845,2019.10.31,대법원,수당금,대외적 구속력 예규; 대외적 구속력; 법규명령 행정규칙 효력,위임의?\s*한계,"  [1] 현업공무원 등의 지방공무원은 근무명령에 의하여 실제로 초과근무한 시간에 해당하는 초과근무수당의 지급을 구할 수 있는지 여부(원칙적 적극) 및 구 지방공무원보수업무 등 처리지침이 현업대상자에 대하여 시간외근무수당의 월 지급시간을 ‘예산의 범위 내’로 정하도록 규정하거나, 지방자치단체가 예산의 편성지침에 의하여 실제 근무한 초과근로시간에 미달되도록 초과근무수당을 예산에 편성한 경우에도 마찬가지인지 여부(적극)   [2] 법령의 규정이 특정 행정기관에 그 법령 내용의 구체적 사항을 정할 수 있는 권한을 부여하면서 권한 행사의 절차나 방법을 특정하고 있지 않아 수임행정기관이 행정규칙의 형식으로 그 법령의 내용이 될 사항을 구체적으로 정한 경우, 그 행정규칙은 대외적 구속력이 있는 법규명령으로서의 효력을 ",,/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=210845&type=HTML&mobileYn=,부분,기타,구 지방공무원보수업무 등 처리지침 중 현업대상자 시간외근무수당의 월 지급시간을 '예산의 범위 내'로 정하도록 한 부분,,2014두3020과 동일 법리 — 지침으로 법령상 초과근무수당 청구권을 제한할 수 없어 해당 부분의 대외적 효력 부정. 요지란 공란은 원자료 누락.,구속력부정,행정규칙(예규),타부처(구 지침)
47,B,7,prec,226653,2018두45633,2020.12.24,대법원,중국전담여행사지정취소처분취소,대외적 구속력,대외적\s*구속력이?\s*(없|인정되지)," [1] 행정청이 행정절차법 제20조 제1항의 처분기준 사전공표 의무를 위반하여 미리 공표하지 아니한 기준을 적용하여 처분을 하였다는 사정만으로 해당 처분에 취소사유에 이를 정도의 흠이 존재하는지 여부(소극) / 해당 처분에 적용한 기준이 상위법령의 규정이나 법의 일반원칙을 위반하였거나 객관적으로 합리성이 없다고 볼 수 있는 구체적인 사정이 있는 경우, 해당 처분이 위법한지 여부(적극)   [2] 행정청이 관계 법령의 규정이나 자체적인 판단에 따라 처분상대방에게 특정한 권리나 이익 또는 지위 등을 부여한 후 일정한 기간마다 심사하여 갱신 여부를 판단하는 이른바 ‘갱신제’를 채택하여 운용하는 경우, 처분상대방은 갱신 여부에 관하여 합리적인 기준에 의한 공정한 심사를 요구할 권리를 가지는지 여부(적극) 및 여기"," [1] 행정청이 행정절차법 제20조 제1항의 처분기준 사전공표 의무를 위반하여 미리 공표하지 아니한 기준을 적용하여 처분을 하였다고 하더라도, 그러한 사정만으로 곧바로 해당 처분에 취소사유에 이를 정도의 흠이 존재한다고 볼 수는 없다. 다만 해당 처분에 적용한 기준이 상위법령의 규정이나 신뢰보호의 원칙 등과 같은 법의 일반원칙을 위반하였거나 객관적으로 합리성이 없다고 볼 수 있는 구체적인 사정이 있다면 해당 처분은 위법하다고 평가할 수 있다. 구체적인 이유는 다음과 같다.  ① 행정청이 행정절차법 제20조 제1항에 따라 정하여 공표한 처분기준은, 그것이 해당 처분의 근거 법령에서 구체적 위임을 받아 제정·공포되었다는 특별한 사정이 없는 한, 원칙적으로 대외적 구속력이 없는 행정규칙에 해당한다.  ② 처분이",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=226653&type=HTML&mobileYn=,Y,D1,문화체육관광부 '중국 단체관광객 유치 전담여행사' 지정·갱신 관련 업무 시행지침(갱신 평가기준),,행정절차법 제20조에 따라 공표된 처분기준이라도 근거 법령의 구체적 위임 없이 정해진 것은 대외적 구속력 없는 행정규칙이라고 판시(2020.12.24. 파기환송). 처분 위법 사유는 갱신제하 심사대상기간 만료 후 변경된 기준의 소급 적용(공정심사 요구권 침해) — 규범 무효 선언은 아니고 재량준칙으로 존속.,구속력부정,행정규칙(지침),타부처
48,B,7,prec,209228,2011두10584,2013.09.12,대법원,부정당업자제재처분취소,대외적 구속력,위임\s*없,"[1] 법령의 위임이 없음에도 법령에 규정된 처분 요건에 해당하는 사항을 부령에서 변경하여 규정한 경우, 부령 규정의 법적 성격 및 처분의 적법 여부를 판단하는 기준 [2] 공공기관의 운영에 관한 법률 제39조 제3항의 위임에 따라 제정된 기획재정부령인 ‘공기업·준정부기관 계약사무규칙’ 제15조 제1항의 법적 성격 ","[1] 법령에서 행정처분의 요건 중 일부 사항을 부령으로 정할 것을 위임한 데 따라 시행규칙 등 부령에서 이를 정한 경우에 그 부령의 규정은 국민에 대해서도 구속력이 있는 법규명령에 해당한다고 할 것이지만, 법령의 위임이 없음에도 법령에 규정된 처분 요건에 해당하는 사항을 부령에서 변경하여 규정한 경우에는 그 부령의 규정은 행정청 내부의 사무처리 기준 등을 정한 것으로서 행정조직 내에서 적용되는 행정명령의 성격을 지닐 뿐 국민에 대한 대외적 구속력은 없다고 보아야 한다. 따라서 어떤 행정처분이 그와 같이 법규성이 없는 시행규칙 등의 규정에 위배된다고 하더라도 그 이유만으로 처분이 위법하게 되는 것은 아니라 할 것이고, 또 그 규칙 등에서 정한 요건에 부합한다고 하여 반드시 그 처분이 적법한 것이라고 할 수도",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=209228&type=HTML&mobileYn=,Y,D1,'공기업·준정부기관 계약사무규칙'(기획재정부령) 제15조 제1항,,"법령(공공기관운영법 제39조 제2항)의 위임 없이 법률에 규정된 처분요건을 변경하여 정한 부령 조항 → 행정조직 내부의 행정명령에 불과, 대외적 구속력 부정. 대상이 부령(시행규칙류)임을 유의(O1 표의 시행령에 준하여 Y 처리).",구속력부정,부령,타부처현행
49,B,7,detc,137695,99헌바91,2004.10.28,,"금융산업의구조개선에관한법률 제2조 제3호 가목 등 위헌소원"" (동법 제10조 제1항 제2호, 제2항, 제12조 제2항 내지 제4항)""",대외적 구속력 훈령; 대외적 구속력 고시; 대외적 구속력 예규; 법령보충적 행정규칙; 위임 없이 훈령; 대외적 구속력; 법규명령 행정규칙 효력,위임\s*없,"1. 당해소송이 제1심과 항소심에서 소송요건이 결여되었다는 이유로 각하되었지만 상고심에서 그 각하판결이 유지될지 불분명한 경우에도 헌법재판소법 제68조 제2항의 헌법소원에 있어서 재판의 전제성이 인정될 수 있다고 본 사례2. 법률이 입법사항을 대통령령이나 부령이 아닌 고시와 같은 행정규칙의 형식으로 위임하는 것이 헌법 제40조, 제75조, 제95조 등과의 관계에서 허용되는지 여부(한정적극)3. 법률이 국민의 권리의무와 관련된 사항을 고시와 같은 행정규칙에 위임하는 경우 그 위헌성 판단방법4. 금융산업의구조개선에관한법률 제2조 제3호 가목, 제10조 제1항 제2호, 제2항에서 입법사항을 금융감독위원회의 고시에 위임한 것이 헌법에 위반되는지 여부(소극)5. 부실금융기관에 대한 정부의 출자를 규정하는 구 금융산업","1. 금융감독위원회가 주식회사인 보험회사에 대하여 부실금융기관으로 결정하고 증자 및 감자를 명한 처분에 대하여 이 사건의 청구인들인 위 회사의 ‘주주’ 또는 ‘이사’ 등이 그 취소를 구하는 당해소송에서 제1심과 항소심 법원은 ‘주주’ 또는 ‘이사’ 등이 가지는 이해관계를 행정소송법 제12조 소정의 ‘법률상 이익’으로 볼 수 없다고 하면서 소를 각하하는 판결을 선고하였다. 그러나, 당해사건에 직접 원용할 만한 확립된 대법원 판례는 아직까지 존재하지 않아 해석에 따라서는 당해소송에서 청구인들의 원고적격이 인정될 여지도 충분히 있고, 헌법재판소가 이에 관하여 법원의 최종적인 법률해석에 앞서 불가피하게 판단할 수밖에 없는 경우에는 헌법재판소로서는 일단 청구인들이 당해소송에서 원고적격을 가질 수 있다는 전제하에 재판",,N,,,,헌재: 법률이 입법사항을 고시 등 행정규칙에 위임하는 것 한정적 허용(법리) + 금산법 조항의 금감위 고시 위임은 합헌(소극). 위임 쟁점 유효 판단.,,,
50,B,7,detc,137486,2004헌마670,2007.08.30,,산업기술연수생 도입기준완화결정 등 위헌확인,대외적 구속력 훈령; 대외적 구속력 고시; 대외적 구속력 예규; 위임 없이 훈령; 대외적 구속력; 법규명령 행정규칙 효력,효력이?\s*(없|인정),"1. 근로의 권리에 관한 외국인의 기본권 주체성(한정 적극)2. ‘외국인산업기술연수생의 보호 및 관리에 관한 지침’(1998. 2. 23. 노동부 예규 제369호로 개정된 것) 제4조, 제8조 제1항 및 제17조(이하 ‘이 사건 노동부 예규’라 한다)가 헌법소원의 대상이 되는 공권력의 행사에 해당하는지 여부(적극)3. 이 사건 노동부 예규가 청구인의 평등권을 침해하는지 여부(적극)","1. 근로의 권리가 ""일할 자리에 관한 권리""만이 아니라 ""일할 환경에 관한 권리""도 함께 내포하고 있는바, 후자는 인간의 존엄성에 대한 침해를 방어하기 위한 자유권적 기본권의 성격도 갖고 있어 건강한 작업환경, 일에 대한 정당한 보수, 합리적인 근로조건의 보장 등을 요구할 수 있는 권리 등을 포함한다고 할 것이므로 외국인 근로자라고 하여 이 부분에까지 기본권 주체성을 부인할 수는 없다. 즉 근로의 권리의 구체적인 내용에 따라, 국가에 대하여 고용증진을 위한 사회적·경제적 정책을 요구할 수 있는 권리는 사회권적 기본권으로서 국민에 대하여만 인정해야 하지만, 자본주의 경제질서하에서 근로자가 기본적 생활수단을 확보하고 인간의 존엄성을 보장받기 위하여 최소한의 근로조건을 요구할 수 있는 권리는 자유권적 기본권의 ",,Y,기타,"'외국인산업기술연수생의 보호 및 관리에 관한 지침'(노동부 예규 제369호) 제4조, 제8조 제1항, 제17조",,헌재 인용(위헌확인): 예규가 사실상 대외적 규범력을 갖는 공권력 행사임을 전제로 근로기준법상 보호를 연수생에게 배제한 것이 평등권 침해. 위임 결함이 아닌 평등원칙 위반. 구 예규 폐지 — 현행 부존재.,무효선언,행정규칙(예규),폐지·실효
51,B,7,detc,38997,2013헌바183,2014.07.24,,구 조세특례제한법 제2조 제3항 위  헌소원,재위임,재위임,"1. 법률이 입법사항을 고시와 같은 행정규칙의 형식으로 위임하는 것이 허용되는지 여부(한정적극)2.조세감면 또는 중과의 대상이 되는 업종의 분류를 통계청장이 고시하는 한국표준산업분류에 위임할 필요성이 인정되는지 여부(적극)3. 업종의 분류를 통계청장이 고시하는 한국표준산업분류에 의하도록 한 구 조세특례제한법(2001. 12. 29. 법률 제6538호로 개정되고, 2007. 4. 27. 법률 제8387호로 개정되기 전의 것) 제2조 제3항(이하 ‘심판대상조항’이라 한다)이 조세법률주의 및 포괄위임금지원칙에 위배되는지 여부(소극)","1.사회적 변화에 대응한 입법수요의 급증과 종래의 형식적 권력분립주의로는 현대사회에 대응할 수 없다는 기능적 권력분립론을 감안하여 헌법 제40조ㆍ제75조ㆍ제95조의 의미를 살펴보면, 국회가 입법으로 행정기관에게 구체적인 범위를 정하여 위임한 사항에 관하여는 당해 행정기관이 법 정립의 권한을 갖게 되고, 입법자가 그 규율의 형식도 선택할 수 있다고 보아야 하므로, 헌법이 인정하고 있는 위임입법의 형식은 예시적인 것으로 보아야 한다. 법률이 일정한 사항을 행정규칙에 위임하더라도 그 행정규칙은 위임된 사항만을 규율할 수 있으므로, 국회입법의 원칙과 상치되지 않는다. 다만, 행정규칙은 법규명령과 같은 엄격한 제정 및 개정절차를 필요로 하지 아니하므로, 기본권을 제한하는 내용의 입법을 위임할 때에는 법규명령에 위임하",,N,,,,"헌재: 구 조특법 제2조 제3항의 한국표준산업분류(통계청 고시) 위임 — 위임 필요성 인정, 조세법률주의·포괄위임금지 위배 아님(합헌).",,,
52,B,6,prec,221989,2020다253515,2022.05.26,대법원,부당이득금등,위임한계를 벗어나; 위임 없이 훈령,무효,"  [1] 공공건설임대주택의 임대보증금과 임대료의 상한을 정한 구 임대주택법령의 규정이 효력규정인지 여부(적극) 및 임대주택의 임대보증금과 임대료를 정한 약정 중 위 규정의 한도액을 초과하는 부분의 효력(무효)   [2] 일부 무효의 법리를 정한 민법 제137조의 적용 범위 / 법률행위의 일부가 강행법규인 효력규정을 위반하여 무효가 되는 경우라도 당해 효력규정과 그 효력규정을 둔 법의 입법 취지를 고려할 때 나머지 부분을 무효로 하는 것이 당해 효력규정 및 그 법의 취지에 명백히 반하는 결과가 초래되는 경우, 나머지 부분까지 무효가 된다고 할 수 있는지 여부(소극)   [3] 공공건설임대주택의 정당한 전환임대보증금 산정을 위하여 건설원가에서 공제하는 국민주택기금 융자금의 범위(=대출약정에 따라 대출이 예정된","  [1] 임대주택의 건설을 촉진하고 국민주거생활의 안정을 도모하기 위하여 제정된 구 임대주택법(2013. 6. 4. 법률 제11870호로 개정되기 전의 것, 이하 같다. 현재는 ‘민간임대주택에 관한 특별법’으로 승계되었다)은 임대사업자가 자의적으로 임대보증금과 임대료를 정하는 것을 방지하기 위하여 임대주택의 임차인의 자격, 선정 방법, 임대보증금, 임대료 등 임대조건에 관한 기준을 대통령령으로 정하도록 하였다(제20조 제1항). 그 위임에 따라 제정된 구 임대주택법 시행령(2015. 6. 30. 대통령령 제26369호로 개정되기 전의 것, 이하 같다) 제21조는 구 주택법 제16조에 따른 공공건설임대주택의 최초 임대보증금과 임대료는 국토해양부장관이 정하여 고시하는 표준임대보증금 및 표준임대료를 초과할 수 ",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=221989&type=HTML&mobileYn=,N,,,,구 임대주택법 시행령 제21조 및 표준임대보증금·표준임대료 고시를 유효한 효력규정(강행규정)으로 인정하고 이를 초과한 사법상 약정 부분을 무효로 본 사안(규범 자체의 무효 아님).,,,
53,B,6,prec,107317,90누5764,1990.09.25,대법원,양도소득세등부과처분취소,대외적 구속력 훈령,무효, 재산제세조사사무처리규정(1985.5.1.국세청훈령 제946호) 제72조 제3항이 법규명령인지 여부(적극) 및 그 제5호가 조세법률주의에 위반되는지 여부(소극) ," 재산제세조사사무처리규정(1985.5.1 국세청훈령 제946호) 제72조 제3항은 대외적인 구속력이 있는 법규명령으로서의 효력이 있고 그 제5호의 ""국세청장, 지방국세청장 및 세무서장의 부동산거래 특별조사나 관계기관의 조사로 제1호 내지 제4호에 준하는 투기거래로 판명된 거래""라는 규정이 조세법률주의에 위반되는 무효의 것이라고 할 수 없다. ",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=107317&type=HTML&mobileYn=,N,,,,"재산제세조사사무처리규정(국세청훈령 제946호) 제72조 제3항 및 제5호: 법규명령 효력 인정, 조세법률주의 위반 아님(유효).",,,
54,B,6,prec,181222,2014두6135,2016.02.18,대법원,신재생에너지발전차액지원적용설비선정취소및발전차액지원금환수,대외적 구속력 고시; 대외적 구속력,위임범위를?\s*벗어,"[1] 지식경제부 고시인 ‘신·재생에너지이용 발전전력의 기준가격 지침’ 제13조 제4항이 구 신에너지 및 재생에너지 개발·이용·보급 촉진법의 위임범위를 벗어났는지 여부(소극) 및 법규명령으로서 효력을 가지는지 여부(적극) [2] 수익적 행정처분의 하자가 당사자의 사실은폐나 기타 부정한 방법에 의한 신청행위 때문인 경우, 행정청이 처분에 관한 신뢰이익을 고려하여야 하는지 여부(소극) ",,/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=181222&type=HTML&mobileYn=,N,,,,"지식경제부 고시 '신·재생에너지이용 발전전력의 기준가격 지침' 제13조 제4항: 모법 위임범위 일탈 아님(소극), 법규명령 효력 인정(유효). 요지란 공란은 원자료 누락.",,,
55,B,6,prec,209190,2011구합1964,2011.10.12,대전지방법원,중학교입학자격검정고시응시제한처분취소,대외적 구속력 고시,무효,"대전광역시 교육감이 ‘대전광역시 중학교 입학자격 검정고시 규칙’에 근거하여 만 12세 이상인 자를 대상으로 하는 내용의 2011년도 중학교 입학자격 검정고시 시행계획을 공고함에 따라, 만 5세가 되는 날이 속한 해의 다음해에 초등학교에 입학하여 재학하다가 취학의무를 유예받아 정원 외로 관리되던 甲이 응시원서를 제출하였으나, 만 9세에 불과하여 응시자격이 없다는 이유로 반려처분을 받은 사안에서, ‘대전광역시 중학교 입학자격 검정고시 규칙’ 중 만 12세 이상으로 응시연령을 제한하는 규정은 무효라는 이유로 위 처분이 위법하다고 한 사례 ","대전광역시 교육감이 ‘대전광역시 중학교 입학자격 검정고시 규칙’(이하 ‘이 사건 검정고시 규칙’이라 한다)에 근거하여 만 12세 이상인 자를 대상으로 하는 내용의 2011년도 중학교 입학자격 검정고시 시행계획을 공고함에 따라, 만 5세가 되는 날이 속한 해의 다음해에 초등학교에 입학하여 4학년 1학기까지 재학하다가 1년간 취학의무를 유예받아 정원 외로 학적이 관리되던 甲이 응시원서를 제출하였으나, 만 9세에 불과하여 응시자격이 없다는 이유로 대전광역시 교육감에게서 반려처분을 받은 사안에서, 의무교육에 관한 헌법 제31조 제2항, 제3항, 교육기본법 제8조 제1항, ‘초·중등교육법’ 제12조, 제13조와 취학의무에 관한 ‘초·중등교육법’ 제13조를 근거로 중학교 입학자격 검정고시의 응시연령을 제한할 수는 없으",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=209190&type=HTML&mobileYn=,N,,,,"하급심(대전지법)이 '대전광역시 중학교 입학자격 검정고시 규칙'(교육감 제정 교육규칙=자치법규) 중 응시연령(만 12세 이상) 제한 부분을 무효로 판단한 사안 — 대상이 자치법규로 O1의 행정규칙·시행령 범주 밖이라 무관 처리. 다만 상고심(대법원 2014.8.20. 2012두19526, 본 목록 판독순위 71)은 반대로 규칙 유효 판단(본건 무효 판단 유지되지 않음). [검수 반영: 무관→N. 무효 판단이 상고심 2012두19526에서 번복되어 최종 유효 2026-08-15.]",,,
56,B,6,prec,227069,2021두39362,2021.10.14,대법원,정이사선임처분취소,대외적 구속력,효력이?\s*(없|인정),[1] 임기가 만료된 학교법인의 이사에게 후임이사가 선임될 때까지 종전의 직무를 계속하여 수행할 긴급처리권이 인정되는지 여부(원칙적 적극) 및 위 긴급처리권에 후임 정식이사 선임에 관여할 권한이 포함되는지 여부(적극) / 관할청이 구 사립학교법 제25조의3에 따라 정식이사를 선임할 때 퇴임한 정식이사들의 긴급처리권에 구애받지 않고 공석이 있는 이사 정수 전원에 대하여 정식이사 선임권을 행사할 수 있는지 여부(적극) [2] 행정기관 내부의 업무처리지침이나 법령의 해석ㆍ적용 기준을 정한 행정규칙이 대외적 구속력을 갖는지 여부(소극) 및 처분이 행정규칙에 적합한지에 따라 처분의 적법 여부를 판단할 수 있는지 여부(소극) [3] 관할청이 구 사립학교법 제25조의3에 따른 정식이사 선임권을 행사할 때 종전 정식이사의,"[1] 학교법인의 이사 임기가 만료되었다고 하더라도, 적법한 후임이사의 선임이 없어 임기가 만료되지 아니한 다른 이사만으로는 정상적인 학교법인의 활동을 할 수 없는 경우, 임기가 만료된 구 이사로 하여금 학교법인의 업무를 수행케 함이 부적당하다고 인정할 만한 특별한 사정이 없는 한, 민법 제691조를 유추하여 구 이사에게 후임이사가 선임될 때까지 종전의 직무를 계속하여 수행할 긴급처리권이 인정되고, 긴급처리권은 후임 정식이사 선임에 관여할 권한도 포함한다. 관할청이 구 사립학교법(2020. 12. 22. 법률 제17659호로 개정되기 전의 것) 제25조의3에 따라 정식이사를 선임할 때에는 퇴임한 정식이사들의 긴급처리권에 구애받지 않고 공석이 있는 이사 정수 전원에 대하여 정식이사 선임권을 행사할 수 있다. ",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=227069&type=HTML&mobileYn=,무관,,,,사학 정상화·종전이사 긴급처리권 사안. [2]에서 행정규칙의 대외적 구속력 부정 일반법리를 설시했으나 특정 규범의 위임·효력에 대한 개별 판단 없음. 사립학교법 영역(교육부 소관)이라는 점만 참고.,,,
57,B,6,prec,161507,2011다104253,2012.03.29,대법원,손해배상(기)등,대외적 구속력,대외적\s*구속력이?\s*(없|인정되지)," [1] 공익사업을 위한 토지 등의 취득 및 보상에 관한 법률 제68조 제3항의 위임에 따라 협의취득의 보상액 산정에 관한 구체적 기준을 정하고 있는 공익사업을 위한 토지 등의 취득 및 보상에 관한 법률 시행규칙 제22조가 대외적인 구속력을 가지는지 여부(적극)   [2] 한국토지주택공사가 甲 등에게서 토지를 협의취득하면서 ‘매매대금이 고의·과실 내지 착오평가 등으로 과다 또는 과소하게 책정되어 지급되었을 때에는 과부족금액을 상대방에게 청구할 수 있다’고 약정하였는데, 공사가 협의취득을 위한 보상액을 산정하면서 한국감정평가업협회의 구 토지보상평가지침에 따라 토지를 지상에 설치된 철탑 및 고압송전선의 제한을 받는 상태로 평가한 사안에서, 위 약정은 감정평가기준을 잘못 적용하여 협의매수금액을 산정한 경우에도 적"," [1] 공익사업을 위한 토지 등의 취득 및 보상에 관한 법률(이하 ‘공익사업법’이라 한다) 제68조 제3항은 협의취득의 보상액 산정에 관한 구체적 기준을 시행규칙에 위임하고 있고, 위임 범위 내에서 공익사업을 위한 토지 등의 취득 및 보상에 관한 법률 시행규칙 제22조는 토지에 건축물 등이 있는 경우에는 건축물 등이 없는 상태를 상정하여 토지를 평가하도록 규정하고 있는데, 이는 비록 행정규칙의 형식이나 공익사업법의 내용이 될 사항을 구체적으로 정하여 내용을 보충하는 기능을 갖는 것이므로, 공익사업법 규정과 결합하여 대외적인 구속력을 가진다.   [2] 한국토지주택공사가 국민임대주택단지를 조성하기 위하여 甲 등에게서 토지를 협의취득하면서 ‘매매대금이 고의·과실 내지 착오평가 등으로 과다 또는 과소하게 책정되",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=161507&type=HTML&mobileYn=,N,,,,공익사업법 시행규칙 제22조: 법령보충으로 대외적 구속력 인정(유효). 한국감정평가업협회 '토지보상평가지침'은 사적 단체의 내부 기준으로 취급 — 위임입법 쟁점 아님.,,,
58,B,6,prec,193642,2007다1753,2007.11.15,대법원,상장폐지결정무효확인,대외적 구속력,무효,[1] 주식회사 한국증권선물거래소와 유가증권 상장신청법인 사이에 체결되는 상장계약 및 그 상장폐지결정의 법적 성질 [2] 주식회사 한국증권선물거래소가 제정한 유가증권상장규정의 법적 성질 [3] 주식회사 한국증권선물거래소가 제정한 유가증권상장규정의 특정 조항을 무효라고 보아야 하는 경우  [4] 주권상장법인이 회사정리절차의 개시신청을 하였다는 이유만으로 상장폐지결정을 하도록 정한 구 유가증권상장규정의 상장폐지조항의 효력(무효) ,"[1] 주식회사 한국증권선물거래소는 한국증권선물거래소법 제4조의 규정에 따라 설립된 주식회사로서, 그 유가증권시장에 유가증권의 상장을 희망하는 발행회사와 주식회사 한국증권선물거래소 사이에 체결되는 상장계약은 사법상의 계약이고, 상장회사의 신청이 없는 상태에서의 주식회사 한국증권선물거래소에 의한 상장폐지 내지 상장폐지결정은 그러한 사법상의 계약관계를 해소하려는 주식회사 한국증권선물거래소의 일방적인 의사표시이다.  [2] 주식회사 한국증권선물거래소가 증권거래법의 규정에 따라 제정한 유가증권상장규정은, 행정기관이 제정하는 일반적, 추상적인 규정으로서 법령의 위임에 따라 그 규정의 내용을 보충하는 기능을 가지면서 그와 결합하여 대외적인 구속력을 가지는 법규명령이라고 볼 수는 없고, 증권거래법이 자치적인 사항을 스스",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=193642&type=HTML&mobileYn=,무관,,,,한국증권선물거래소 '유가증권상장규정'은 법규명령이 아닌 사법상 자치규정이라는 성질 결정 + 특정 조항(정리절차 신청만으로 상장폐지)의 무효는 사법(私法)적 통제(신의칙·형평)에 의한 것 — 위임입법 결함 계열 아님.,,,
59,B,6,expc,312818,07-0125,,,행정자치부 - 「공무원교육훈련법 시행령」 제11조의3제3항(공무원의 교육훈련에 관한 위임범위) 관련,재위임,위임범위를?\s*벗어,"「공무원교육훈련법 시행령」 제11조의3제3항은 교육훈련시간을 승진임용에 반영하는 경우에 연간 이수하여야 할 교육훈련시간, 교육훈련시간으로 인정할 수 있는 교육훈련의 내용 및 교육훈련의 운영에 관하여 필요한 사항은 중앙인사위원회가 따로 정할 수 있도록 규정하고 있는바, 연간 교육훈련기준시간 또는 당해계급 근무년수 × 당해부처 연간교육훈련기준시간의 20% 이상은 교육훈련 부서 주관으로 민·관 교육훈련기관에서 이수하게 한 교육훈련 시간이 포함되도록 정한 ‘교육훈련시간 승진반영제도 운영지침’(중앙인사위원회 예규 제112호(2006.9.13))이 (가) 상위법령인 「공무원교육훈련법 시행령」을 위반하거나 위임범위를 벗어나는지,  (나) 위 운영지침의 내용이 법률 또는 시행령이 아니라 예규로써 규정할 수 있는 사항인지?","‘교육훈련시간 승진반영제도 운영지침’(중앙인사위원회 예규 제112호(2006. 9. 13))이 연간 교육훈련기준시간 또는 당해계급 근무년수 × 당해부처 연간교육훈련기준시간의 20% 이상은 교육훈련 부서 주관으로 민·관 교육훈련기관에서 이수하게 한 교육훈련 시간이 포함되도록 정한 것은 (가) 「공무원교육훈련법 시행령」을 위반하거나 위임범위를 벗어나지 않으며, (나) 위 규정은 법률이나 시행령의 형식이 아니라 예규로써 정할 수 있는 사항입니다.",,N,,,,법제처 법령해석례(법원 판단 아님): '교육훈련시간 승진반영제도 운영지침'(중앙인사위원회 예규 제112호)이 공무원교육훈련법 시행령 위반·위임범위 일탈이 아니며 예규로 정할 수 있는 사항이라고 회신(유효).,,,
